# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
CNTNAP1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:protein localization to paranode region of axon (idf=6.61); go:neuronal action potential propagation (idf=6.61); go:postsynaptic density organization (idf=6.61) (+7 more) | captured 30 GO / 1 Reactome / 1 OT
CNTNAP2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:neuron recognition (idf=5.92); go:protein localization to juxtaparanode region of axon (idf=5.92); go:juxtaparanode region of axon (idf=5.36) (+11 more) | captured 47 GO / 0 Reactome / 0 OT
CNTNAP5,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=2.39); go:synapse (idf=2.39) | captured 6 GO / 0 Reactome / 0 OT
COBL,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:positive regulation of dendrite development (idf=6.20); go:dendritic growth cone (idf=5.92); go:axonal growth cone (idf=5.36) (+3 more) | captured 28 GO / 0 Reactome / 0 OT
COL13A1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=3.21); go:postsynaptic membrane (idf=3.21) | captured 15 GO / 4 Reactome / 4 OT
CRH,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.36); reactome:MECP2 regulates transcription of neuronal ligands (idf=5.36); open_targets:MECP2 regulates transcription of neuronal ligands (idf=5.36); go:synaptic transmission, dopaminergic (idf=5.11) (+3 more) | captured 24 GO / 3 Reactome / 3 OT"
CRHR1,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.20); go:positive regulation of synaptic transmission, GABAergic (idf=6.20); go:postsynaptic density membrane (idf=4.01); go:neuron projection (idf=2.96) (+1 more) | captured 32 GO / 2 Reactome / 2 OT"
CSF1R,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:forebrain neuron differentiation (idf=6.61); go:axon guidance (idf=4.17) | captured 63 GO / 3 Reactome / 3 OT
CTNNA2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:presynaptic active zone cytoplasmic component (idf=6.61); go:extrinsic component of presynaptic membrane (idf=6.61); go:modification of postsynaptic actin cytoskeleton (idf=6.20) (+11 more) | captured 39 GO / 1 Reactome / 1 OT
CTNND2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:dendritic spine morphogenesis (idf=5.92); go:synapse organization (idf=4.41); go:postsynaptic density (idf=3.33) (+1 more) | captured 16 GO / 0 Reactome / 0 OT
CUL3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:regulation protein catabolic process at postsynapse (idf=6.61); go:postsynapse (idf=3.39); go:glutamatergic synapse (idf=2.73) | captured 70 GO / 11 Reactome / 11 OT
DAB1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:lateral motor column neuron migration (idf=5.92); go:regulation of synapse maturation (idf=5.36); go:neuron migration (idf=4.59) (+2 more) | captured 14 GO / 1 Reactome / 1 OT
DCTN1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:maintenance of synapse structure (idf=6.20); go:axonal transport (idf=5.92); go:neuron cellular homeostasis (idf=5.11) (+4 more) | captured 55 GO / 14 Reactome / 13 OT
DIAPH1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.74); go:synaptic vesicle endocytosis (idf=4.74); go:neuron projection development (idf=3.94); go:presynapse (idf=3.47) (+1 more) | captured 35 GO / 9 Reactome / 9 OT
DISC1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:pyramidal neuron migration to cerebral cortex (idf=6.61); go:positive regulation of axon extension (idf=5.92); go:regulation of dendritic spine development (idf=5.92) (+11 more) | captured 47 GO / 0 Reactome / 0 OT
DLG4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:positive regulation of neuron projection arborization (idf=6.61); go:synaptic receptor adaptor activity (idf=6.61); go:AMPA glutamate receptor clustering (idf=6.20) (+42 more) | captured 78 GO / 14 Reactome / 14 OT
DMD,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:synaptic signaling (idf=5.92); go:postsynaptic specialization (idf=5.92); go:neuron projection terminus (idf=5.11) (+14 more) | captured 89 GO / 3 Reactome / 3 OT
DRD1,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.61); go:modification of postsynaptic structure (idf=6.61); go:cerebral cortex GABAergic interneuron migration (idf=6.20); go:dopamine neurotransmitter receptor activity, coupled via Gs (idf=6.20) (+12 more) | captured 51 GO / 2 Reactome / 2 OT"
DRD2,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.20); go:neuron-neuron synaptic transmission (idf=6.20); go:cerebral cortex GABAergic interneuron migration (idf=6.20); go:regulation of synaptic transmission, GABAergic (idf=6.20) (+29 more) | captured 138 GO / 1 Reactome / 1 OT"
DRD3,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.92); go:dopamine neurotransmitter receptor activity, coupled via Gi/Go (idf=5.92); go:negative regulation of synaptic transmission, glutamatergic (idf=5.69); go:regulation of dopamine uptake involved in synaptic transmission (idf=5.51) (+3 more) | captured 47 GO / 2 Reactome / 2 OT"
DRD4,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.20); go:positive regulation of dopamine uptake involved in synaptic transmission (idf=6.20); go:regulation of postsynaptic neurotransmitter receptor internalization (idf=5.92); go:dopamine neurotransmitter receptor activity, coupled via Gi/Go (idf=5.92) (+8 more) | captured 44 GO / 2 Reactome / 2 OT"
DRD5,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.20); go:dopamine neurotransmitter receptor activity, coupled via Gs (idf=6.20); go:dopamine neurotransmitter receptor activity (idf=5.51); go:synaptic transmission, dopaminergic (idf=5.11) (+2 more) | captured 27 GO / 2 Reactome / 2 OT"
DSCAM,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:positive regulation of axon extension involved in axon guidance (idf=5.92); go:dendrite self-avoidance (idf=5.69); go:synapse assembly (idf=4.59) (+5 more) | captured 25 GO / 1 Reactome / 1 OT
DST,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:retrograde axonal transport (idf=5.69); go:axon cytoplasm (idf=4.74); go:axon (idf=2.65) | captured 44 GO / 7 Reactome / 7 OT
DYNC1H1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:retrograde axonal transport (idf=5.69); go:axon cytoplasm (idf=4.74) | captured 37 GO / 21 Reactome / 20 OT
EEF2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:translation at postsynapse (idf=6.61); go:postsynapse (idf=3.39); go:glutamatergic synapse (idf=2.73) (+1 more) | captured 41 GO / 5 Reactome / 5 OT
EFHC1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:axonemal microtubule (idf=6.61); go:axonemal A tubule inner sheath (idf=6.61); go:axoneme (idf=4.74) (+1 more) | captured 18 GO / 0 Reactome / 0 OT
EFNA5,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:synaptic membrane adhesion (idf=6.61); go:axonal fasciculation (idf=5.92); go:positive regulation of synapse assembly (idf=5.51) (+2 more) | captured 34 GO / 3 Reactome / 3 OT
EIF4E,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.61); go:regulation of translation at postsynapse, modulating synaptic transmission (idf=6.61); go:excitatory synapse (idf=5.22); go:postsynapse (idf=3.39) (+1 more) | captured 35 GO / 14 Reactome / 14 OT"
ELK1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:hippocampal neuron apoptotic process (idf=6.20); go:axon terminus (idf=4.31); go:neuronal cell body (idf=2.83) (+1 more) | captured 33 GO / 4 Reactome / 4 OT
ELOVL4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:negative regulation of mini excitatory postsynaptic potential (idf=6.61); go:positive regulation of inhibitory postsynaptic potential (idf=6.61); go:short-term synaptic potentiation (idf=6.61) | captured 20 GO / 1 Reactome / 1 OT
ENO2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.12); go:synaptic membrane (idf=4.12); go:neuronal cell body (idf=2.83) | captured 26 GO / 2 Reactome / 2 OT
EPHA4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:positive regulation of dendrite morphogenesis (idf=6.61); go:fasciculation of sensory neuron axon (idf=6.61); go:fasciculation of motor neuron axon (idf=6.61) (+24 more) | captured 78 GO / 4 Reactome / 4 OT
EPO,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.90); go:response to axon injury (idf=4.90); go:positive regulation of neuron differentiation (idf=4.74); go:positive regulation of neuron projection development (idf=4.21) | captured 40 GO / 6 Reactome / 6 OT
ERBB4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:olfactory bulb interneuron differentiation (idf=6.61); go:neurotransmitter receptor localization to postsynaptic specialization membrane (idf=5.69); reactome:Long-term potentiation (idf=4.74) (+9 more) | captured 68 GO / 20 Reactome / 20 OT
FABP5,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.61); go:regulation of retrograde trans-synaptic signaling by endocanabinoid (idf=6.61); go:retrograde trans-synaptic signaling by endocannabinoid (idf=6.20); go:postsynaptic density, intracellular component (idf=5.51) (+4 more) | captured 33 GO / 4 Reactome / 4 OT"
FARP1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:retrograde trans-synaptic signaling by trans-synaptic protein complex (idf=6.61); go:postsynaptic actin cytoskeleton organization (idf=6.61); go:extrinsic component of postsynaptic membrane (idf=6.20) (+7 more) | captured 21 GO / 4 Reactome / 4 OT
FBXL13,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.74); go:axoneme (idf=4.74) | captured 8 GO / 2 Reactome / 2 OT
FGF20,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:positive regulation of dopaminergic neuron differentiation (idf=6.61); go:regulation of neuron differentiation (idf=5.69); go:negative regulation of neuron apoptotic process (idf=3.84) | captured 18 GO / 37 Reactome / 37 OT
FUS,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.51); go:postsynaptic cytosol (idf=5.51); go:presynaptic cytosol (idf=5.22); go:GABA-ergic synapse (idf=3.87) (+1 more) | captured 26 GO / 4 Reactome / 4 OT
GABRA1,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.69); go:extrasynaptic signaling via GABA (idf=5.69); go:inhibitory synapse assembly (idf=5.69); go:synaptic transmission, GABAergic (idf=5.22) (+9 more) | captured 28 GO / 2 Reactome / 2 OT"
GABRB1,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.92); go:negative regulation of synaptic transmission, GABAergic (idf=5.92); go:central nervous system neuron development (idf=5.69); go:extrasynaptic signaling via GABA (idf=5.69) (+14 more) | captured 40 GO / 2 Reactome / 2 OT"
GABRB3,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.92); go:negative regulation of synaptic transmission, GABAergic (idf=5.92); go:inhibitory postsynaptic potential (idf=5.69); go:extrasynaptic signaling via GABA (idf=5.69) (+11 more) | captured 37 GO / 2 Reactome / 2 OT"
GABRG2,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.92); go:negative regulation of synaptic transmission, GABAergic (idf=5.92); go:extrasynaptic signaling via GABA (idf=5.69); go:inhibitory synapse assembly (idf=5.69) (+12 more) | captured 32 GO / 2 Reactome / 2 OT"
GABRG3,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.69); go:inhibitory synapse assembly (idf=5.69); go:synaptic transmission, GABAergic (idf=5.22); go:dendrite membrane (idf=5.00) (+7 more) | captured 24 GO / 2 Reactome / 2 OT"
GABRP,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.22); go:synaptic transmission, GABAergic (idf=5.22); go:GABA-ergic synapse (idf=3.87) | captured 14 GO / 0 Reactome / 0 OT"
GAD1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:L-glutamate catabolic process (idf=6.61); go:glutamate decarboxylase activity (idf=6.20); go:inhibitory synapse (idf=6.20) (+9 more) | captured 25 GO / 3 Reactome / 3 OT
GAD2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:glutamate decarboxylase activity (idf=6.20); go:presynaptic membrane (idf=3.41); go:chemical synaptic transmission (idf=3.26) (+3 more) | captured 18 GO / 3 Reactome / 3 OT
GAL,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=2.83); go:neuronal cell body (idf=2.83) | captured 31 GO / 2 Reactome / 2 OT
GDNF,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:chemoattraction of axon (idf=6.61); go:chemoattractant activity involved in axon guidance (idf=6.61); go:regulation of dopamine uptake involved in synaptic transmission (idf=5.51) (+4 more) | captured 48 GO / 4 Reactome / 4 OT
GHRL,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:dendrite development (idf=5.69); go:positive regulation of synapse assembly (idf=5.51); go:neuronal dense core vesicle lumen (idf=5.36) (+6 more) | captured 70 GO / 3 Reactome / 3 OT
GLRB,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=5.92); go:synaptic transmission, glycinergic (idf=5.92); go:glycinergic synapse (idf=5.92); go:postsynaptic specialization (idf=5.92) (+11 more) | captured 31 GO / 1 Reactome / 1 OT"
GNB5,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); reactome:Presynaptic function of Kainate receptors (idf=6.61); open_targets:Presynaptic function of Kainate receptors (idf=6.61); go:parallel fiber to Purkinje cell synapse (idf=5.22) (+6 more) | captured 23 GO / 29 Reactome / 29 OT
GRIA3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:AMPA glutamate receptor activity (idf=5.92); go:glutamate-gated receptor activity (idf=5.69); go:AMPA glutamate receptor complex (idf=5.69) (+18 more) | captured 29 GO / 5 Reactome / 5 OT
GRIA4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:AMPA glutamate receptor activity (idf=5.92); go:glutamate-gated receptor activity (idf=5.69); go:AMPA glutamate receptor complex (idf=5.69) (+18 more) | captured 28 GO / 5 Reactome / 5 OT
GRID2,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.61); go:trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (idf=6.61); go:ionotropic glutamate receptor complex (idf=6.61); go:trans-synaptic protein complex (idf=6.61) (+27 more) | captured 47 GO / 0 Reactome / 0 OT"
GRIN1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:neurotransmitter receptor complex (idf=5.92); go:glutamate binding (idf=5.69); go:excitatory chemical synaptic transmission (idf=5.51) (+31 more) | captured 64 GO / 9 Reactome / 9 OT
GRIN2A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.51); go:excitatory chemical synaptic transmission (idf=5.51); go:glutamate-gated calcium ion channel activity (idf=5.51); go:glutamate receptor signaling pathway (idf=5.36) (+35 more) | captured 52 GO / 7 Reactome / 7 OT
GRIN2B,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:negative regulation of dendritic spine maintenance (idf=5.69); go:glutamate binding (idf=5.69); go:excitatory chemical synaptic transmission (idf=5.51) (+33 more) | captured 53 GO / 11 Reactome / 11 OT
GRIN2C,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.51); go:excitatory chemical synaptic transmission (idf=5.51); go:glutamate receptor signaling pathway (idf=5.36); go:NMDA glutamate receptor activity (idf=5.22) (+23 more) | captured 31 GO / 6 Reactome / 6 OT
GRIN2D,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:cellular response to L-glutamate (idf=6.20); go:glutamate-gated receptor activity (idf=5.69); go:glutamate binding (idf=5.69) (+31 more) | captured 40 GO / 8 Reactome / 8 OT
GRIN3A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:negative regulation of dendritic spine development (idf=6.20); go:neurotransmitter receptor complex (idf=5.92); go:glutamate-gated receptor activity (idf=5.69) (+20 more) | captured 44 GO / 1 Reactome / 1 OT
GRIN3B,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:neurotransmitter receptor complex (idf=5.92); go:glutamate receptor activity (idf=5.51); go:NMDA glutamate receptor activity (idf=5.22) (+15 more) | captured 32 GO / 1 Reactome / 1 OT
GRM1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (idf=6.20); go:phospholipase C-activating G protein-coupled glutamate receptor signaling pathway (idf=6.20); go:G protein-coupled glutamate receptor signaling pathway (idf=6.20) (+20 more) | captured 33 GO / 4 Reactome / 4 OT
GRM5,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:positive regulation of long-term neuronal synaptic plasticity (idf=6.61); go:negative regulation of dendritic spine morphogenesis (idf=6.61); go:adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (idf=6.20) (+23 more) | captured 58 GO / 3 Reactome / 3 OT
GSK3A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:proximal dendrite (idf=6.61); go:apical dendrite (idf=5.51); go:regulation of neuron projection development (idf=4.66) (+5 more) | captured 58 GO / 6 Reactome / 6 OT
GSK3B,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:neuron projection organization (idf=6.61); go:regulation of long-term synaptic potentiation (idf=6.20); go:negative regulation of dopaminergic neuron differentiation (idf=6.20) (+15 more) | captured 129 GO / 26 Reactome / 26 OT
HCN2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.51); go:somatodendritic compartment (idf=5.51); go:dendrite membrane (idf=5.00); go:dendritic shaft (idf=4.90) (+4 more) | captured 37 GO / 1 Reactome / 1 OT
HCRT,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.36); go:regulation of neurotransmitter secretion (idf=5.36); go:neuronal dense core vesicle lumen (idf=5.36); go:excitatory postsynaptic potential (idf=4.12) (+4 more) | captured 35 GO / 2 Reactome / 2 OT
HECW1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:regulation of dendrite morphogenesis (idf=5.69) | captured 9 GO / 1 Reactome / 1 OT
HNRNPA1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=2.39); go:synapse (idf=2.39) | captured 33 GO / 7 Reactome / 7 OT
HRH3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.36); go:neurotransmitter secretion (idf=5.36); go:neurotransmitter receptor activity (idf=4.66); go:presynapse (idf=3.47) (+3 more) | captured 15 GO / 1 Reactome / 1 OT
HTR1A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.66); go:neurotransmitter receptor activity (idf=4.66); go:chemical synaptic transmission (idf=3.26); go:dendrite (idf=2.67) (+1 more) | captured 25 GO / 1 Reactome / 1 OT
HTR1B,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.20); go:serotonergic synapse (idf=6.20); go:neurotransmitter receptor activity (idf=4.66); go:presynaptic membrane (idf=3.41) (+2 more) | captured 26 GO / 2 Reactome / 2 OT
HTR2C,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.66); go:neurotransmitter receptor activity (idf=4.66); go:chemical synaptic transmission (idf=3.26); go:dendrite (idf=2.67) (+1 more) | captured 30 GO / 2 Reactome / 2 OT
HTR3A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); reactome:Neurotransmitter receptors and postsynaptic signal transmission (idf=5.92); open_targets:Neurotransmitter receptors and postsynaptic signal transmission (idf=5.92); go:ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (idf=5.11) (+5 more) | captured 24 GO / 1 Reactome / 1 OT
HTR6,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.66); go:neurotransmitter receptor activity (idf=4.66); go:chemical synaptic transmission (idf=3.26); go:dendrite (idf=2.67) (+1 more) | captured 20 GO / 2 Reactome / 2 OT
IGF1R,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:dendritic spine maintenance (idf=5.69); go:axon (idf=2.65) | captured 45 GO / 5 Reactome / 5 OT
IGLON5,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:neuron recognition (idf=5.92); go:regulation of synapse assembly (idf=5.36) | captured 5 GO / 0 Reactome / 0 OT
INSR,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:dendritic spine maintenance (idf=5.69); go:neuronal cell body membrane (idf=5.11); go:neuron projection maintenance (idf=5.00) (+4 more) | captured 82 GO / 6 Reactome / 6 OT
IQSEC2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (idf=5.92); go:regulation of postsynaptic neurotransmitter receptor internalization (idf=5.92); go:positive regulation of synapse assembly (idf=5.51) (+5 more) | captured 13 GO / 0 Reactome / 0 OT
ITGA6,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.21); go:positive regulation of neuron projection development (idf=4.21) | captured 33 GO / 11 Reactome / 11 OT
ITPR1,synaptic_neuronal,"primary=synaptic_neuronal IDF-derived (score=6.61); go:inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (idf=6.61); go:regulation of postsynaptic cytosolic calcium ion concentration (idf=5.69); go:Schaffer collateral - CA1 synapse (idf=4.26) (+2 more) | captured 57 GO / 15 Reactome / 15 OT"
JPH3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=4.82); go:regulation of neuronal synaptic plasticity (idf=4.82); go:regulation of synaptic plasticity (idf=4.21) | captured 14 GO / 0 Reactome / 0 OT
KCNA1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:neuronal signal transduction (idf=6.61); go:neuronal action potential (idf=5.36); go:juxtaparanode region of axon (idf=5.36) (+10 more) | captured 46 GO / 1 Reactome / 1 OT
KCNC2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (idf=5.92); go:neuronal cell body membrane (idf=5.11); go:dendrite membrane (idf=5.00) (+10 more) | captured 51 GO / 2 Reactome / 2 OT
KCNC3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:dendritic spine membrane (idf=5.92); go:neuronal cell body membrane (idf=5.11); go:dendrite membrane (idf=5.00) (+6 more) | captured 27 GO / 1 Reactome / 1 OT
KCND3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.11); go:postsynaptic specialization membrane (idf=5.11); go:dendritic spine (idf=3.90); go:GABA-ergic synapse (idf=3.87) (+5 more) | captured 32 GO / 2 Reactome / 2 OT
KCNJ11,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.92); go:voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (idf=5.92); go:regulation of presynaptic membrane potential (idf=4.82); open_targets:Neuronal System (idf=2.90) | captured 29 GO / 6 Reactome / 6 OT
KCNN2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=3.90); go:dendritic spine (idf=3.90); open_targets:Neuronal System (idf=2.90); go:neuronal cell body (idf=2.83) | captured 18 GO / 2 Reactome / 2 OT
KCNN3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=2.96); go:neuron projection (idf=2.96); open_targets:Neuronal System (idf=2.90); go:neuronal cell body (idf=2.83) | captured 13 GO / 1 Reactome / 1 OT
KCNQ2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.00); go:axon initial segment (idf=5.00); go:chemical synaptic transmission (idf=3.26); open_targets:Neuronal System (idf=2.90) (+1 more) | captured 20 GO / 2 Reactome / 2 OT
KCNQ3,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.00); go:axon initial segment (idf=5.00); go:chemical synaptic transmission (idf=3.26); open_targets:Neuronal System (idf=2.90) (+1 more) | captured 19 GO / 2 Reactome / 2 OT
KCTD8,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); go:G protein-coupled neurotransmitter receptor activity (idf=5.69); go:presynaptic active zone membrane (idf=5.00); go:presynaptic membrane (idf=3.41) (+2 more) | captured 11 GO / 0 Reactome / 0 OT
KIF17,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:anterograde dendritic transport of neurotransmitter receptor complex (idf=6.61); go:dendrite cytoplasm (idf=5.69); go:neuron projection (idf=2.96) (+2 more) | captured 19 GO / 2 Reactome / 2 OT
KIF1A,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:anterograde neuronal dense core vesicle transport (idf=6.61); go:retrograde neuronal dense core vesicle transport (idf=6.61); go:neuronal dense core vesicle membrane (idf=6.61) (+9 more) | captured 29 GO / 2 Reactome / 2 OT
KLK8,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.51); go:regulation of synapse organization (idf=5.51); go:neuron projection morphogenesis (idf=4.53) | captured 14 GO / 1 Reactome / 1 OT
LAMA2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.22); go:synaptic cleft (idf=5.22); go:synapse (idf=2.39) | captured 26 GO / 9 Reactome / 8 OT
LAMB2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:structural constituent of synapse-associated extracellular matrix (idf=6.61); go:synaptic cleft (idf=5.22); go:synapse (idf=2.39) | captured 27 GO / 10 Reactome / 9 OT
LCN2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:positive regulation of hippocampal neuron apoptotic process (idf=6.61); go:negative regulation of hippocampal neuron apoptotic process (idf=6.61); go:positive regulation of neuron apoptotic process (idf=4.36) | captured 53 GO / 4 Reactome / 4 OT
LHX1,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:spinal cord association neuron differentiation (idf=6.61); go:dorsal spinal cord interneuron posterior axon guidance (idf=6.61); go:motor neuron axon guidance (idf=5.92) (+2 more) | captured 85 GO / 3 Reactome / 3 OT
LINC00634,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:neuron maturation (idf=6.61) | captured 4 GO / 0 Reactome / 0 OT
LMNA,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=5.69); reactome:Meiotic synapsis (idf=5.69); open_targets:Meiotic synapsis (idf=5.69) | captured 35 GO / 8 Reactome / 8 OT
LRP4,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:synaptic assembly at neuromuscular junction (idf=6.61); go:postsynaptic membrane assembly (idf=6.61); go:negative regulation of axonogenesis (idf=6.20) (+11 more) | captured 37 GO / 1 Reactome / 1 OT
MACROD2,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:peptidyl-glutamate ADP-deribosylation (idf=6.61); go:ADP-ribosylglutamate hydrolase activity (idf=6.61) | captured 12 GO / 0 Reactome / 0 OT
MAG,synaptic_neuronal,primary=synaptic_neuronal IDF-derived (score=6.61); go:negative regulation of axon extension (idf=6.61); go:mesaxon (idf=6.61); reactome:Axonal growth inhibition (RHOA activation) (idf=6.61) (+6 more) | captured 28 GO / 3 Reactome / 3 OT
